# Derived by scripts/gh109_coverage_matrix.py --emit. Do not edit by hand.
# terminal_state is one of covered | na-platform | na-value (D-19).
# `covered` is a verdict of PAIRING AND ADJUDICATION, NOT of clause completeness:
#   the depth of a transcription is measured per rule by M0-M4 of the rvsec-crysl
#   conformance component and clause by clause by constraint_table.csv and
#   predicate_ledger.csv. This file does not re-derive it.
# oracle_defect_row is a join on divergence_record.csv rows of kind `oracle-wart`
#   whose `file` column names tools/rules/<Rule>.crysl. A defect is an attribute of
#   a rule's row, never a terminal state of its own (D-21).
rule,terminal_state,evidence,oracle_defect_row
AlgorithmParameterGenerator,covered,AlgorithmParameterGeneratorSpec.mop,
AlgorithmParameters,covered,AlgorithmParametersSpec.mop,
CertPathTrustManagerParameters,covered,CertPathTrustManagerParametersSpec.mop,
CertificateFactory,covered,CertificateFactorySpec.mop,
Cipher,covered,CipherSpec.mop,"the preparedOAEP REQUIRES clause at :140-141 has an unsatisfiable antecedent, and the specification transcribes the evident intent instead"
CipherInputStream,covered,CipherInputStreamSpec.mop,
CipherOutputStream,covered,CipherOutputStreamSpec.mop,
Cookie,na-platform,"the rule's SPEC line names javax.servlet.http.Cookie, and the api30 jar holds zero entries under javax/servlet (archive listing of platforms/android-30/android.jar): the servlet API is not part of the Android platform at any level. Android's own cookie types -- java.net.HttpCookie, android.webkit.CookieManager -- are different classes with different methods, so there is no class here for the rule to be about",
DHGenParameterSpec,covered,DHGenParameterSpecSpec.mop,
DHParameterSpec,covered,DHParameterSpecSpec.mop,`p >= 1^2048` and `g >= 1^2048` are literally `>= 1`; transcribed as bit-length >= 2048 (D-20.4) -- the DSAParameterSpec row states the defect
DSAGenParameterSpec,na-platform,"java.security.spec.DSAGenParameterSpec has zero entries in the api30 jar (archive listing); the class first ships with API 35. The rule's sibling producer for the same predicate, DSAParameterSpec, is present and covered, so the DSA parameter route the set can observe is specified",
DSAParameterSpec,covered,DSAParameterSpecSpec.mop,`p >= 1^2048` and `g >= 1^2048` are literally `>= 1`; both rules are transcribed as bit-length >= 2048 (D-20.4)
