id,spec_clausula,dimensao,fenomeno_id,posicao,classificacao,tipo,evidencia_primaria,resultado,contraevidencia_procurada,ameaca_validade,impacto_fp_fn,severidade,confianca
BETA-KGN-01,KeyGeneratorSpec/geracao-orcamento,toolchain_android,,PASS,FIDELIDADE_DEMONSTRADA (medicao da cadeia),MEDIDO,"/usr/bin/time -v scratch (-d out -merge --emit-descriptor): javamop 0,44s/88,9MB + rv-monitor 1,08s/111,3MB exit 0; CoenableProbe ere coenable[fail]=4599=9x(2^9-1) SATURADO, 94595 chars (o mais pesado da rodada); 9 eventos <=17; 4/4 byte-identicos ao insumo","geracao limpa deterministica com o maior RSS/string da rodada, ainda tratavel",stderr/stdout inspecionados; regeneracao independente hash-compare (beta_coenable_summary.txt),carga de maquina afeta wall-clock nao contagens,nenhum,-,0.98
BETA-KGN-02,KeyGeneratorSpec/captura getInstance+init+generateKey,captura_eventos,,PASS,FIDELIDADE_DEMONSTRADA (exaustivo API 30; multi-overload correto),MEDIDO,"weave de producao (BetaWeaveProbeB sobre instr-cli.jar 356e8b70 + android-30 96ccfdc8) e ajc 1.9.25.1: os 3 overloads de getInstance (String; String,String; String,Provider via Object+), os 5 init e generateKey todos capturados; vizinhos KeyPairGenerator/SecretKeyFactory/getAlgorithm 0 hits (beta_weave_all.out; beta_capture_matrix.txt); o wrapper 1-arg dispara SO g1/g3 (Object+ aridade-exata, sem sobre-expansao)",Esperado subconjunto de Capturado; vizinhos livres; contraste com KMF/TMF onde g2 usa '..',procurado wrapper g2 sobre o overload 1-arg: ausente (Object+ nao expande p/ 1-arg),call-site sintetico; ART/device pendente (G6/G10),nenhum,-,0.96
BETA-KGN-03,KeyGeneratorSpec/ciclo de vida por objeto,bindings_clausulas,,PASS,FIDELIDADE_DEMONSTRADA (por objeto; slice vazio ausente),PROVADO,"todos os eventos ligam k (g1/g2/g3 via returning(KeyGenerator k); i1..i5/gk1 via target(k)); MapOfMonitor por objeto (RuntimeMonitor:596); a forma de falha KPR (slice vazio) foi procurada e esta AUSENTE; drive KGN-c: 2 KeyGenerator intercalados isolados (0 erros), 3 reps identicas",ciclo CrySL por objeto realizado; sem monitor global,procurada arvore Tuple2/slice-vazio: inexistente (so MapOfMonitor),weave+device nao exercitados,nenhum,-,0.96
BETA-KGN-04,KeyGeneratorSpec/ORDER Gets Inits? gk,linguagem_formal,FEN-KGN-GETS-REPETIDO,FAIL,DIVERGENCIA_EQUIVALENTE_COMPROVADA (permissiva; jca-herdada),PROVADO,"tabela efetiva (RuntimeMonitor:267-275) realiza g1+/g2+ (getInstance repetido) enquanto CrySL ORDER 'Gets, Inits?, gk' admite UM Gets; g1 g1 gk aceito (estado 4 laco); jca twin tem o mesmo ere",MOP mais permissivo que CrySL: FN nao FP; realizabilidade baixa,leitura por objeto do artefato vs CrySL cru; Alfa detem as inclusoes formais,apps raramente repetem getInstance,FN de baixa realizabilidade,minor,0.85
BETA-KGN-05,KeyGeneratorSpec/rota unsafe-alg,diagnostico,FEN-KGN-UNSAFE-RESIDUO,FAIL,INCORRETA (acusacao de sequencia espuria empilhada; jca-herdada),PROVADO,"drive KGN-b (ajc-woven, DES/56 real): getInstance('DES') init(56) generateKey() -> 2 InvalidSequenceOfMethodCalls espurios + 1 UnsafeAlgorithm (beta_drive_run1.out); o ere nao tem rota unsafe->init (sem estado unsafeAlg); i* de 0->5 e pos-__RESET gk1 de 0->5",UnsafeAlgorithm correto; as 2 InvalidSequence sao FP na mesma chamada,procurada rota g3->init no ere: inexistente (diferente de KMF/TMF/SSL),jca twin identico; oraculo cru,FP diagnostico realizavel em toda chamada unsafe seguida de init,major,0.92
BETA-KGN-06,KeyGeneratorSpec/CONSTRAINT alg=AES=>keySize,bindings_clausulas,FEN-KGN-KEYSIZE-OMIT,FAIL,OMITIDA (constraint da regra sem verificacao),PROVADO,i1 corpo vazio (.mop:76-78; artefato Prop_1_event_i1 sem codigo); drive KGN-d: o provider AES lanca InvalidParameterException ANTES de qualquer checagem e a spec nada verifica (0 erros da spec),o unico CONSTRAINT parametrico da regra e invisivel,procurada condition/verificacao de keySize: inexistente,para AES o provider protege; p/ algoritmos sem enforcement o FN e realizavel; oraculo cru,FN de borda,minor,0.9
BETA-KGN-07,KeyGeneratorSpec/REQUIRES randomized + ENSURES generatedKey,predicados_composicao,,PASS,FIDELIDADE_DEMONSTRADA (leitor no corpo; escritor por objeto),PROVADO,"reportUnrandomized le RANDOMIZED em i2/i4/i5 (artefato Prop_1_event_i2); gk1 escreve GENERATED_KEY(key) (:114); drive KGN-e3: init(int, SR-marcado) silencioso; KGN-a2: key marcada apos generateKey; escritor de RANDOMIZED e SecureRandomSpec",as duas direcoes executadas; aridade 1-slot consistente,procurado descompasso escritor/leitor: nenhum,o mark de SR fresco vem de SecureRandomSpec (fora dos 5),nenhum,-,0.94
BETA-KMF-01,KeyManagerFactorySpec/geracao-orcamento,toolchain_android,,PASS,FIDELIDADE_DEMONSTRADA (medicao da cadeia),MEDIDO,"javamop 0,44s/87,2MB + rv-monitor 0,92s/90,2MB exit 0; CoenableProbe fsm coenable[fail]=378=6x(2^6-1) saturado; 6 eventos <=17; 4/4 byte-identicos",geracao limpa deterministica,stderr inspecionado; regeneracao independente,nenhuma relevante,nenhum,-,0.98
BETA-KMF-02,"KeyManagerFactorySpec/g2 getInstance(String, ..)",captura_eventos,FEN-SET-VARARGS-ARGS-IGNORED,FAIL,INCORRETA (FP critico no caminho dexlib2; diverge do ajc),MEDIDO,"WrapperEmitter agrupa g2 (call getInstance(String, ..) && args(alg, *)) SOBRE o overload 1-arg getInstance(String): expandCallTarget expande '..' p/ overloads com aridade>=fixedPrefix e IGNORA args() (firstCallTarget so le o call()); wrapper 1-arg emite g1Event, g3Event E g2Event (beta_MonitorWrappers_multispec.java); drive DX-1: getInstance('PKIX') -> g1(0->1) g2(1->3=fail) InvalidSequence imediato; ajc dispara so g1/g3 pois args(alg,*) exclui (beta_capture_matrix.txt)",FP critico que atinge exatamente o uso CORRETO (PKIX 1-arg); metades ajc x dexlib2 divergem,procurada leitura de args() no WrapperEmitter: inexistente,"medido em android-30; producao usa android-37/36 (REF-C-03) mas o mecanismo e jar-independente; pointcut jca-herdado, defeito de toolchain",FP direto realizavel em todo KeyManagerFactory.getInstance(String) correto,critica,0.95
BETA-KMF-03,KeyManagerFactorySpec/ciclo de vida + captura init/getKeyManagers,bindings_clausulas,,PASS,FIDELIDADE_DEMONSTRADA (por objeto),MEDIDO,"parametro k ligado por todos os eventos; MapOfMonitor por objeto (:464); init(KeyStore,char[])/init(MFP) INLINE, getKeyManagers WRAPPED, getInstance 2-arg (String,String e String,Provider) ambos capturados via '..' (beta_weave_all.out); drive KMF-c: 2 factories isoladas (0 erros)",binding correto e por objeto (contraste com o slice-vazio de TMF pre-gh101),procurado slice vazio: ausente,weave sintetico; ART pendente,nenhum,-,0.93
BETA-KMF-04,KeyManagerFactorySpec/rota unsafe-alg,diagnostico,FEN-KMF-UNSAFE-RESIDUO,FAIL,INCORRETA (acusacao de sequencia espuria; jca-herdada),PROVADO,drive KMF-b (SunX509): g3 (estado unsafeAlg) evita o fail no getInstance mas init(0->3) rende 2 InvalidSequence + 1 UnsafeAlgorithm (beta_drive_run1.out); familia D-S10 do resíduo,UnsafeAlgorithm correto; InvalidSequence espurios,procurado caminho sem resíduo: inexistente no ere,jca twin identico; oraculo cru,FP diagnostico realizavel,major,0.9
BETA-KMF-05,KeyManagerFactorySpec/REQUIRES generatedKeyStore + ENSURES generatedKeyManager,predicados_composicao,,PASS,FIDELIDADE_DEMONSTRADA (leitor no corpo; remove por objeto),PROVADO,"i1 le GENERATED_KEY_STORE(keyStore) (.mop:76); i1/i2 escrevem GENERATED_KEY_MANAGERS(factory), gkm1 escreve GENERATED_KEY_MANAGERS(array) lido por SSL.init; @fail usa remove de 2 args por objeto (:127-128, reparo do remove(Property) global)",aresta escritor->leitor; a escrita do factory e write-no-read,procurado remove(Property) global: substituido por remove de 2 args,o mark de identidade quebra quando o produtor e KeyStore global (BETA-KST-08),nenhum na aresta de constante,-,0.9
BETA-TMF-01,TrustManagerFactorySpec/geracao-orcamento,toolchain_android,,PASS,FIDELIDADE_DEMONSTRADA (medicao da cadeia),MEDIDO,"javamop 0,44s/87,7MB + rv-monitor 0,92s/90,7MB exit 0; CoenableProbe fsm coenable[fail]=378=6x(2^6-1) saturado; 6 eventos <=17; 4/4 byte-identicos; tabela identica a KMF",geracao limpa deterministica,regeneracao independente,nenhuma,nenhum,-,0.98
BETA-TMF-02,TrustManagerFactorySpec/reparo gh101 (4 defeitos + g3),bindings_clausulas,,PASS,FIDELIDADE_DEMONSTRADA (reparo verificado no artefato),PROVADO,"os 4 defeitos copiados de KMF corrigidos no artefato: gtm1 liga target(mf) e despacha por objeto (:465); retorno TrustManager[] (aspecto :92-97; javap dos bytes android-30 confirma); escreve GENERATED_TRUST_MANAGERS (nao KEY); g3 tem linha VIVA {0,3,3,3} (:195) nao all-fail; drive TMF-b3/b4: @fail de tmf2 retira SO a propria marca e preserva a de tmf1; sonda pF1 reconstroi o defeito pre-gh101 (g3 all-fail) no toolchain congelado","procurados o retorno [][], a constante KEY, o binding k e a linha g3 all-fail: TODOS corrigidos",procurada persistencia de qualquer um dos 4 defeitos: nenhum,weave+device pendente; o reparo nao remove o resíduo unsafe-alg (BETA-TMF-04),nenhum no reparo,-,0.95
