claim_id,resolucao,classificacao,dimensao_score,evidencia_decisiva,pendencia
ALFA-CIP-01,FAIL,INCORRETA (critica; FP re-init),linguagem,"walk do juiz no artefato: G I I -> init2[1]=5 @fail (gen_cipher RuntimeMonitor:407); CrySL Inits+ aceita; identico no artefato de Gama; re-executado pelo revisor","semantica sob weaving/execucao (G6/G10); precedencia do ORDER (ALFA-CIP-04)"
ALFA-CIP-02,FAIL,INCORRETA (critica; FP multi-update),linguagem,"walk do juiz: G I U U -> u1[2]=5 @fail no 4o evento (RuntimeMonitor:410); CrySL updates+ aceita; re-executado pelo revisor","idem CIP-01"
ALFA-CIP-03,FAIL,INCORRETA (critica; FN mistura wrap x doFinal),linguagem,"walk do juiz: G I W Fw e G I Fw W aceitos (estado 4); G I W U termina em 2 sem @fail (RuntimeMonitor:410-415); re-executado pelo revisor","idem CIP-01"
ALFA-CIP-04,INCONCLUSIVE,INCONCLUSIVA (ambiguidade do oraculo),linguagem,"ConcreteSyntax.rsc:59-70 vs CrySL oficial; leitura B degenerada (sanity de Alfa)","verificar Xtext upstream uma vez; desvio D-piloto-1"
ALFA-CIP-05,PASS,DIVERGENCIA_EQUIVALENTE_COMPROVADA (fusoes D-S11),captura,"tabela alfa + BETA-CIP-04 medido (particao 28/28 no android-30; DISJOINT)","ameacas de borda registradas: classe adversarial SecureRandom+APSpec; 3o arg null"
ALFA-CIP-06,FAIL,INCORRETA (diagnostico; major),diagnostico,"provado no artefato: g3[0]=0 e init2[0]=5 com corpo antes de handleEvent (verificacao do juiz; converge GAMA-CIP-02)","quantificacao em execucao (G10)"
ALFA-CIP-07,FAIL,OMITIDA (critica; sem registro),predicados,"ExecutionContext.java:118-120 validate binario propriedade+objeto sem casa de algoritmo (verificado pelo juiz); KeyGeneratorSpec.mop:114 grava sem algoritmo; ausente de data/gh101 E do ledger openspec/changes/gh101-*/ (busca ampliada pos-REF-01)","registrar formalmente ou corrigir na rodada das 23"
ALFA-CIP-08,FAIL,INCORRETA (critica; deliberada registrada != aprovada),predicados,"return false antes de handleEvent no artefato gerado (verificado pelo juiz); divergence_record.csv linha be31fad07d4a; alternativa demonstrada nos 4 REQUIRES lidos no corpo","frequencia do FN terminal exige execucao (G10)"
ALFA-CIP-09,PASS,FIDELIDADE_DEMONSTRADA,predicados,"leitura no corpo cobrindo i2/i6/i7/i8; writer RANDOMIZED em SecureRandomSpec:106-133",-
ALFA-CIP-10,PASS,FIDELIDADE_DEMONSTRADA,predicados,"IV_MODES 1:1 com a clausula (util:86 e 211-213)",-
ALFA-CIP-11,PASS,FIDELIDADE_DEMONSTRADA,predicados,"requiresPreparedGcm sem condicao de direcao igual a regra (util:221-223)",-
ALFA-CIP-12,PASS,LIMITACAO_INEVITAVEL_DOCUMENTADA (bloqueia aderencia total),predicados,"predicate_omissions.csv linha preparedAlg (D-S14); produtor sem spec no conjunto","FN para i5/i7 permanece; reavaliar se AlgorithmParameters ganhar spec"
ALFA-CIP-13,PASS,FIDELIDADE_DEMONSTRADA,predicados,"negacao correta; writer MACED em MacSpec:40-44; projecao fiel a casa anonima","ameaca: copia defensiva de byte[] nao herda marca (FN marginal); D-S13 registrado"
ALFA-CIP-14,PASS,FIDELIDADE_DEMONSTRADA (literais),bindings,"18 clausulas conferidas 1:1 (util:92-154 vs Cipher.cryptsl:121-169)",-
ALFA-CIP-14a,FAIL,INCORRETA (major; contra oraculo cru; equivalencia externa nao testada como incerteza registrada),bindings,"util:51-56 e 184-191 trata componente vazio como irrestrito; oraculo usa convencao '' explicita (RSA/ChaCha20 listam '')","teste padronizado de part() sobre componente ausente (D-piloto-2)"
ALFA-CIP-14b,FAIL,INCORRETA (minor; contra oraculo cru; equivalencia JCA possivel e nao testada - incerteza registrada) [rev.2: era INCONCLUSIVE; re-elevado por REF-04 - mesma regra de 14a],bindings,"folding aceita strings que o conjunto cru rejeita (util:251-253) - divergencia textual provada; oraculo entra cru (pre_registro secao 1)","teste discriminante JCA getInstance case-insensitive (D-piloto-2); pode reclassificar para DIVERGENCIA_EQUIVALENTE_COMPROVADA"
ALFA-CIP-15,FAIL,OMITIDA (major [rev.2: era minor; REF-05 - sem registro deliberado; mitigacao por API e INFERIDA]),bindings,"nenhuma checagem de encmode no .mop; Cipher.cryptsl:127; ausente de data/gh101 e da tarefa 4.11","harness init(7,key) contra android-30 para adjudicar a mitigacao"
ALFA-CIP-16,FAIL,OMITIDA (major [rev.2: era minor; REF-05]),bindings,"4 clausulas de comprimento sem traducao; Cipher.cryptsl:129-135; ausentes de data/gh101 e da tarefa 4.11","c6/c8 dubias no gerador - candidatas a reducao formal de escopo; harness dos 4 casos"
ALFA-CIP-17,FAIL,OMITIDA (critica pelo FN realizavel; COM registro deliberado [rev.2: REF-01 - tasks.md:117 registra noCallTo(IWOIV) fora de escopo com razao e nota de recuperabilidade]),bindings,"Cipher.cryptsl:123; nenhum codigo consome a distincao IWOIV x IWIV; registro em openspec/changes/gh101-jca-spec-conformance/tasks.md:117 (verificado pelo juiz); registrado != aprovado (modelo_semantico:98-99)","decrypt CBC via init sem IV nao reporta - FN realizavel; recuperavel pelo instanceof ja existente"
ALFA-CIP-18,FAIL,"OMITIDA (major; COM registro deliberado [rev.2: REF-01 - tasks.md:117, nao apenas comentario do spec])",bindings,"Cipher.cryptsl:125; CipherSpec.mop:44-46; tasks.md:117 registra callTo(iv) fora de escopo (getIV sem evento); orcamento tinha 3 slots livres (14<17)","clausula de valor semantico questionavel - candidata a reducao formal de escopo"
ALFA-CIP-19,PASS,DIVERGENCIA_EQUIVALENTE_COMPROVADA (projecao registrada),predicados,"setProperty(ENCRYPTED) nos 8 eventos de saida; leitor do conjunto (MacSpec:151-180) consome so a 1a casa","FN latente da 2a casa; auditoria de conjunto nas 23"
ALFA-CIP-20,FAIL,INCORRETA (minor; extra-oraculo com incoerencia interna),predicados,"api30 ENSURES so encrypted x3 (Cipher.cryptsl:187-194); escrita GENERATED_CIPHER confirmada pelo juiz no corpo gerado do init2 - gravada mesmo quando reportUnsafeTransformation acusa","ancora 1.5.2 e decisao de pesquisa - candidata a reducao formal de escopo"
ALFA-CIP-21,PASS,LIMITACAO_INEVITAVEL_DOCUMENTADA (efeito morto registrado),predicados,"predicate_omissions.csv linha WRAPPED_KEY",-
ALFA-CIP-22,FAIL,INCORRETA (diagnostico; major; cascata),diagnostico,"provado no artefato pelo juiz: u1[0]=f1[0]=f2[0]=wkb1[0]=5 apos __RESET->0; re-executado pelo revisor","dedupe in-JVM mascara so mesmo __LOC; ruido real exige G10"
ALFA-CIP-23,FAIL,INCORRETA (diagnostico; minor; mensagem enganosa),diagnostico,"CipherSpec.mop:55-56 cita AES/PCBC/ISO10126Padding que o proprio util rejeita (util:94)","corrigir literal na rodada de reparos"
ALFA-CIP-24,PASS,FIDELIDADE_DEMONSTRADA (orcamento),toolchain,"14<=17 confirmado por Beta MEDIDO (coenable saturado 229362; custo real)","teto 17 segue alegacao gh101 sem output bruto commitado"
ALFA-GCM-01,PASS,DIVERGENCIA_EQUIVALENTE_COMPROVADA [mudou de INCONCLUSIVE: teste novo = artefato gerado],linguagem,"H-GCM confirmada no artefato (Prop_1_transition_c1={1,2,2}; dois carriers; c2 morto) - conferido pelo juiz; identidade beta/gama evidencia determinismo do gerador (rev.2: nao e replicacao independente - REF-11)","equivalencia por estrutura desta spec (disjuncao 1-de-2); nao generaliza; fail-open registrado em GAMA-GCM-01"
ALFA-GCM-02,PASS,FIDELIDADE_DEMONSTRADA (ORDER Cons),linguagem,"produto de Alfa sem separador + H-GCM confirmada no artefato; completude: produto <=9 estados e diametro <12 - busca com poda por estados visitados e decisao, nao amostragem (rev.2: argumento registrado por REF-10)",-
ALFA-GCM-03,FAIL,INCORRETA (critica; supressao em vez de report; valores fieis),bindings,"condition no creation event (mop:26-29 e 37-43); return false antes de handleEvent no artefato; FN terminal realizavel (objeto invalido nunca usado)","reparo: mover leitura para o corpo (padrao ja usado no CipherSpec)"
ALFA-GCM-04,FAIL,INCORRETA (critica; mesma mecanica),predicados,"validate(RANDOMIZED) no mesmo condition; writer existe (SecureRandomSpec:121)","idem GCM-03"
ALFA-GCM-05,INCONCLUSIVE,INCONCLUSIVA [rev.2: era PASS DIVERGENCIA_EQUIVALENTE_COMPROVADA(INFERIDO) - rotulo autocontraditorio; REF-02; pre_registro linha binding: INCONCLUSIVE quando determinacao exige execucao nao realizada],bindings,"equivalencia das condicoes extras depende do ctor lancar IllegalArgumentException nos mesmos casos no android-30 - nao executado; captura em si confirmada por BETA-GCM-03","harness JVM dos dois ctors com casos-limite contra android-30 congelado (D-piloto-2)"
ALFA-GCM-06,PASS,FIDELIDADE_DEMONSTRADA,predicados,"@match escreve PREPARED_GCM no proprio objeto; leitor via requiresPreparedGcm; handler confirmado no artefato (:176-181)",-
ALFA-GCM-07,PASS,FIDELIDADE_DEMONSTRADA (registro: tese D-S10 confirmada),reprodutibilidade,"byte-identidade com jca (cmp de Gama; hash de Beta); defeitos herdados nao alcancados pela gh101",-
ALFA-GCM-08,PASS,FIDELIDADE_DEMONSTRADA (compilacao; fragilidade registrada) [mudou de INCONCLUSIVE: teste novo = artefato],toolchain,"java.util.* injetado na linha 8 do monitor e do aspecto gerados - verificado pelo juiz","fragil: depende do preambulo do gerador; adicionar imports explicitos na rodada de reparos"
BETA-CIP-01,PASS,FIDELIDADE_DEMONSTRADA (geracao limpa; fato medido),toolchain,"exit 0 stderr vazio; 0,45s/91MB + 6,66s/1,04GB; hashes registrados","host difere do Docker (Temurin 25)"
BETA-CIP-02,PASS,FIDELIDADE_DEMONSTRADA (alfabeto 14 = D-S11; fato medido),toolchain,"14 eventos por tres angulos (.mop, tabelas :405-418, CoenableProbe)",-
BETA-CIP-03,PASS,FIDELIDADE_DEMONSTRADA (orcamento saturado dentro do teto; fato medido),toolchain,"coenable_sets[fail]=229362=14*(2^14-1); conjunto 23: 28,09s/1,71GB",-
BETA-CIP-04,PASS,FIDELIDADE_DEMONSTRADA (captura exata; fato medido),captura,"matcher de producao vs android-30 96ccfdc8: particao 28/28; DISJOINT; UNMATCHED = so vizinhos; identico no android-37.0 do host","weave real nao exercitado (G6); rev.2 (REF-12): android-36 do Docker nao triangulado - rodar mesma mesa no container"
BETA-CIP-05,PASS,FIDELIDADE_DEMONSTRADA (g1;g3 1 advice 2 monitorCalls; artefato),captura,"aspecto :60-66 + descriptor 1:1; guardas complementares isValid/!isValid",-
BETA-CIP-06,FAIL,INCORRETA (defeito de mecanismo do gerador; minor aqui e major como padrao),toolchain,"wrapper descarta retorno do evento e testa flags (gen_cipher :917-924 - verificado pelo juiz); reset() so limpa apos fail","nao exercitado em runtime; mapear specs com @match nao idempotente nas 23"
BETA-CIP-07,PASS,FIDELIDADE_DEMONSTRADA (__LOC presente; com ameaca A2),diagnostico,"expansao para getLineOfCode() em 10 sitios; nenhum __LOC literal restante","__LOC sob DEX sem SourceFile = GAMA-SET-04 (INCONCLUSIVE)"
BETA-CIP-08,INCONCLUSIVE,INCONCLUSIVA (divergencia potencial ajc x dexlib2 em after puro),toolchain,"ajc after-finally vs AfterEmitter.java:17-20 inline pos-call sem try-catch","exige weave + execucao com excecao (BadPadding) - G6/G10"
BETA-CIP-09,PASS,FIDELIDADE_DEMONSTRADA (artefato fiel ao .mop),linguagem,"tabelas :405-418 conferidas transicao a transicao; start/unsafeAlg bisimilares fundidos; nao conflita com ALFA-CIP-01/03: referencias distintas (juiz_sintese 2.1)",-
BETA-CIP-10,PASS,FIDELIDADE_DEMONSTRADA (mecanismo creation-em-todo-evento) COM AMEACA A1 REGISTRADA E NAO ADJUDICADA [rev.2: qualificador restaurado por REF-08 - FP condicional realizavel se getInstance em codigo notwithin()],captura,"14 sitios new CipherSpecMonitor(); init nao observado cria monitor em 0 -> fail","adjudicar A1 com APK (G10); dimensao 5 (ciclo de vida) sem claims proprios no piloto - lacuna declarada; claims obrigatorios na rodada das 23"
BETA-GCM-01,PASS,FIDELIDADE_DEMONSTRADA (geracao limpa e trivial; fato medido),toolchain,"0,41s/87MB + 0,91s/86MB; .rvm identico nos 3 modos",-
