id,spec_clausula,posicao,tipo,evidencia_primaria,resultado,contraevidencia_procurada,ameaca_validade,impacto_fp_fn,severidade,confianca
ALFA-CIP-01,CipherSpec/ORDER Inits+,FAIL,linguagem-inclusao-L(CrySL)<=alpha(L(MOP)),"python3 alfa_automata_check.py; CipherSpec.mop:297-301 (s1/s2 sem re-init); Cipher.cryptsl:117; hashes c9deafb2acb2b2d7/a8e7e2d2e33946c5","PROVADO no modelo sintatico: trace minimo G I I -> @fail com CrySL prefixo-viavel (G I I W in L); re-init de Cipher e realizavel e comum","procurei transicao init em s2/end (ausente); procurei justificativa em divergence_record.csv (INV-INS-114 alega linguagem inalterada vs congelado, nao vs CrySL)","fonte e a sintaxe .mop, nao o monitor gerado; semantica fail do plugin FSM assumida (evento sem transicao => fail)",FP,critica,0.9
ALFA-CIP-02,CipherSpec/ORDER updates+,FAIL,linguagem-inclusao-L(CrySL)<=alpha(L(MOP)),"python3 alfa_automata_check.py; CipherSpec.mop:311-317 (s3 sem loop de update); Cipher.cryptsl:117","PROVADO no modelo sintatico: G I U U -> @fail no 4o evento; CrySL aceita updates+ (prefixo de G I U U F1); multi-update e o uso normal de streaming","procurei loop u em s3 (ausente)","idem CIP-01",FP,critica,0.9
ALFA-CIP-03,CipherSpec/ORDER w+ | (...)+ exclusivo,FAIL,linguagem-inclusao-alpha(L(MOP))<=L(CrySL),"python3 alfa_automata_check.py; CipherSpec.mop:302-326 (end aceita wkb1/f*/u*); Cipher.cryptsl:117","PROVADO no modelo sintatico: G I W Fw e G I Fw W aceitos pelo MOP e fora de L(CrySL); G I W U sem @fail onde CrySL viola","verifiquei que a leitura (A) da precedencia nao salva a mistura (nao salva)","idem CIP-01; a exclusividade dos ramos pode ser vista como artefato do oraculo gerado, mas o oraculo entra cru",FN,critica,0.85
ALFA-CIP-04,Cipher.cryptsl/ORDER precedencia,INCONCLUSIVE,ambiguidade-do-oraculo,"MetaCrySL src/lang/crysl/ConcreteSyntax.rsc:59-70 (priority sequence > or); sanity check no script: G I Fw not in L(leitura B)","OBSERVADO_EM_ARTEFATO: gramatica do MetaCrySL inverte a precedencia do CrySL oficial; leitura (B) e degenerada; adotei (A) e registrei","comparei com a semantica oficial CrySL (Xtext: virgula mais externa) de memoria - nao verifiquei o xtext upstream nesta sessao","interpretacao do CrySL oficial nao re-verificada contra o repositorio upstream",nenhum-direto,minor,0.7
ALFA-CIP-05,CipherSpec/fusao 24->14 (D-S11),PASS,binding-profile-alpha,"CipherSpec.mop:150-208 (aridade+instanceof); Cipher.cryptsl:53-113; tabela alfa em alfa_cipher.md 2.2","partigao por aridade 2/3/4 cobre i1..i8; instanceof recupera as clausulas por argumento; FINWOU x DOFINALS preservado no FSM","busquei colisao de discriminante: classe adversarial SecureRandom+APSpec dispara dois ramos (FP marginal); terceiro arg null cai fora dos ramos (FN de borda)","cobertura real dos pointcuts contra android-30 e do agente de captura (Beta); aqui INFERIDO das assinaturas",FP-marginal/FN-borda,minor,0.8
ALFA-CIP-06,CipherSpec/g3+init dupla acusacao,FAIL,diagnostico,"CipherSpec.mop:125-130 (g3->unsafeAlg) + 293-296 (unsafeAlg sem init) + 330-333 (@fail); pre_registro.md secao 3 (criterio '@fail espurio junto a erro especifico')","init apos getInstance invalido dispara UnsafeAlgorithm (corpo) E InvalidSequenceOfMethodCalls (@fail) para a mesma chamada","procurei transicao init em unsafeAlg que evitasse o fail (ausente)","comportamento do handler @fail simultaneo ao corpo assumido da semantica JavaMOP; confirmacao executavel pendente",FP-diagnostico,major,0.8
ALFA-CIP-07,CipherSpec/REQUIRES generatedKey[key;part0],FAIL,binding-2a-casa-omitida,"ExecutionContext.java:118-120 (validate unario); KeyGeneratorSpec.mop:114 (escrita sem algoritmo); Cipher.cryptsl:174; KeyGenerator.cryptsl:57 (generatedKey[key;alg])","a concordancia chave-algoritmo do predicado biplace nao e representavel no store unario: chave AES aceita em cipher DESede","procurei registro da projecao em data/gh101/predicate_omissions.csv e divergence_record.csv - ausente (so macced/D-S13 registrado)","nenhuma - verificacao estatica direta",FN,critica,0.9
ALFA-CIP-08,CipherSpec/REQUIRES generatedKey em condition() (D-S9),FAIL,supressao-vs-report,"CipherSpec.mop:136-143 (comentario admite a mecanica) e 154-159; divergence_record.csv linha be31fad07d4a ('stays in the condition(...)')","FN terminal: init(chave nao monitorada) como ultimo evento do objeto => nenhum report; trace continuado => veredito preservado mas acusacao deslocada (clausula e __LOC errados); nao muda a linguagem sobre eventos observados, muda o veredito na fronteira terminal","registro gh101 existe (deliberado) - registrado nao e validado; os outros 4 REQUIRES da mesma spec leem no corpo, provando que a alternativa existia","semantica condition()=supressao assumida do JavaMOP (documentada nos proprios comentarios da spec)",FN-terminal+diagnostico,critica,0.85
ALFA-CIP-09,CipherSpec/REQUIRES randomized[ranGen],PASS,predicado-reader,"CipherSpec.mop:63-68 e 182-184 e 203; SecureRandomSpec.mop:106-133 (writers)","leitura no corpo (report direto UnsatisfiedConstraint) cobrindo i2/i6/i7/i8; direcao correta","procurei overload com ranGen sem cobertura (nenhum)","semantica RANDOMIZED do writer e auditoria de conjunto",nenhum,minor,0.85
ALFA-CIP-10,CipherSpec/REQUIRES preparedIV condicional,PASS,predicado-reader-condicional,"AndroidCipherTransformationUtil.java:86 (IV_MODES) e 211-213; Cipher.cryptsl:182","lista de modos {CBC;CTS;CTR;CFB;PCBC;OFB} e encmode==1 transcritas 1:1; leitura no corpo; instanceof separa APSpec de AParams","comparei IV_MODES elemento a elemento com a clausula (iguais; PCBC presente)","-",nenhum,minor,0.95
ALFA-CIP-11,CipherSpec/REQUIRES preparedGCM condicional,PASS,predicado-reader-condicional,"AndroidCipherTransformationUtil.java:221-223; Cipher.cryptsl:184","GCM => preparedGCM sem condicao de direcao, igual a regra","-","-",nenhum,minor,0.95
ALFA-CIP-12,CipherSpec/REQUIRES preparedAlg[param;part0],PASS,omissao-registrada,"predicate_omissions.csv linha preparedAlg (D-S14); CipherSpec.mop:167-170","produtor (AlgorithmParameters) sem spec no conjunto; argumento fica bound; leitura seria 1 linha","presenca no registro nao valida a omissao: classifico LIMITACAO documentada; FN para i5/i7","-",FN,minor,0.9
ALFA-CIP-13,CipherSpec/REQUIRES !macced[_;plainText],PASS,predicado-negado,"CipherSpec.mop:101-106 e 256 e 272; MacSpec.mop:40-44 (writer MACED); data/gh101 GENERATED_MAC (registro da projecao)","report quando o predicado VALE (negacao correta); f2/f5 sao exatamente os eventos que ligam plainText; projecao na 2a casa fiel a casa anonima da clausula","procurei plainText em f7/updates (a regra nao os quantifica; fiel)","identidade de byte[] no store e fragil a copias defensivas (clone nao herda a marca) - ameaca de FN nao quantificada aqui",FN-marginal,minor,0.85
ALFA-CIP-14,CipherSpec/CONSTRAINTS c1+c9-c25 literais,PASS,constraint-tabela,"AndroidCipherTransformationUtil.java:92-154 vs Cipher.cryptsl:121-169; conferencia clausula a clausula (alfa_cipher.md 2.4)","18 clausulas de literais transcritas 1:1 (algoritmos; modos; paddings; RSA com modo vazio; pares sem implicacao admitidos)","procurei literal divergente (nenhum); PCBC corretamente fora do catalogo de AES","-",nenhum,minor,0.95
